Year,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player,Share
11,FA Cup,Arsenal FC,0,0,0,0,0,0,2,0,0,2,Cesc Fàbregas,0.0029
11,EFL Cup,Arsenal FC,0,0,0,0,0,0,1,0,0,1,Cesc Fàbregas,0.0029
11,Premier League,Arsenal FC,1,0,0,0,2,0,0,0,0,3,Cesc Fàbregas,0.0029
11,Champions League,Arsenal FC,1,0,0,0,2,0,0,0,0,3,Cesc Fàbregas,0.0029
10,Champions League,Arsenal FC,0,1,1,0,1,0,1,0,0,4,Cesc Fàbregas,0.0022
10,Premier League,Arsenal FC,1,1,3,0,3,2,3,2,0,15,Cesc Fàbregas,0.0022
9,Premier League,Arsenal FC,0,1,0,0,0,1,0,1,0,3,Cesc Fàbregas,0.009
8,Champions League,Arsenal FC,1,1,0,0,1,0,1,0,0,4,Cesc Fàbregas,0.0028
8,Premier League,Arsenal FC,0,0,1,0,1,1,4,0,0,7,Cesc Fàbregas,0.0028
8,Champions League Qu.,Arsenal FC,0,0,0,0,0,1,1,0,0,2,Cesc Fàbregas,0.0028
