Season,Competition,Club,Appearances,Goals,Assists,Yellow cards,Sesond yellow cards,Red cards,Minutes played,Player,Second yellow cards,Goals conceded,Clean sheets
17/18,Champions League,Sporting CP,6,1,1,2,-,-,538,Bruno Fernandes,,,
17/18,Champions League Qu.,Sporting CP,2,-,2,2,-,-,112,Bruno Fernandes,,,
23/24,Champions League,Inter Milan,6,2,-,2,-,-,323,Lautaro Martínez,,,
22/23,Champions League,Inter Milan,13,3,3,3,-,-,1002,Lautaro Martínez,,,
21/22,Champions League,Inter Milan,8,1,-,1,-,-,587,Lautaro Martínez,,,
20/21,Champions League,Inter Milan,6,1,1,1,-,-,408,Lautaro Martínez,,,
19/20,Europa League,Inter Milan,5,2,1,1,-,-,357,Lautaro Martínez,,,
19/20,Champions League,Inter Milan,6,5,1,2,-,-,521,Lautaro Martínez,,,
18/19,Europa League,Inter Milan,3,1,-,2,-,-,246,Lautaro Martínez,,,
18/19,Champions League,Inter Milan,3,-,-,1,-,-,53,Lautaro Martínez,,,
2018,Libertadores,Racing Club,6,5,-,3,-,-,519,Lautaro Martínez,,,
2017,Copa Sudamericana,Racing Club,5,-,-,1,-,-,215,Lautaro Martínez,,,
23/24,Champions League,FC Barcelona,3,-,1,-,-,-,151,Pedri,,,
22/23,Europa League,FC Barcelona,1,-,-,-,-,-,41,Pedri,,,
22/23,Champions League,FC Barcelona,5,-,-,-,-,-,404,Pedri,,,
21/22,Europa League,FC Barcelona,6,1,-,-,-,-,481,Pedri,,,
21/22,Champions League,FC Barcelona,2,-,-,-,-,-,158,Pedri,,,
20/21,Champions League,FC Barcelona,7,1,1,-,-,-,493,Pedri,,,
23/24,Club World Cup,Manchester City,2,1,-,-,-,-,146,Phil Foden,,,
23/24,Champions League,Manchester City,5,3,2,-,-,-,386,Phil Foden,,,
23/24,UEFA Super Cup,Manchester City,1,-,-,-,-,-,90,Phil Foden,,,
22/23,Champions League,Manchester City,8,1,1,1,-,-,380,Phil Foden,,,
21/22,Champions League,Manchester City,11,3,2,1,-,-,658,Phil Foden,,,
20/21,Champions League,Manchester City,13,3,3,-,-,-,1066,Phil Foden,,,
19/20,Champions League,Manchester City,5,2,2,1,1,-,253,Phil Foden,,,
18/19,Champions League,Manchester City,4,1,-,-,-,-,117,Phil Foden,,,
17/18,Champions League,Manchester City,3,-,-,-,-,-,194,Phil Foden,,,
17/18,UEFA Youth League,Manchester City UEFA U19,3,1,1,-,-,-,270,Phil Foden,,,
16/17,UEFA Youth League,Manchester City UEFA U19,1,-,-,-,-,-,12,Phil Foden,,,
16/17,Champions League,Manchester City,-,-,-,-,-,-,-,Phil Foden,,,
23/24,Europa League,Villarreal CF,4,1,1,1,-,-,161,Gerard Moreno,,,
22/23,Conference League,Villarreal CF,3,-,-,-,-,-,149,Gerard Moreno,,,
22/23,UECL Qualifiers,Villarreal CF,2,1,-,1,-,-,93,Gerard Moreno,,,
21/22,Champions League,Villarreal CF,7,2,3,1,-,-,524,Gerard Moreno,,,
21/22,UEFA Super Cup,Villarreal CF,1,1,-,-,-,-,120,Gerard Moreno,,,
20/21,Europa League,Villarreal CF,12,7,4,1,-,-,880,Gerard Moreno,,,
18/19,Europa League,Villarreal CF,11,4,1,2,-,-,712,Gerard Moreno,,,
14/15,Europa League,Villarreal CF,6,4,1,-,-,-,402,Gerard Moreno,,,
23/24,Champions League,Inter Milan,6,-,-,1,-,-,292,Nicolò Barella,,,
22/23,Champions League,Inter Milan,12,3,-,3,-,-,997,Nicolò Barella,,,
21/22,Champions League,Inter Milan,6,-,-,-,-,1,496,Nicolò Barella,,,
20/21,Champions League,Inter Milan,6,-,1,2,-,-,528,Nicolò Barella,,,
19/20,Europa League,Inter Milan,6,1,1,2,-,-,424,Nicolò Barella,,,
19/20,Champions League,Inter Milan,4,1,-,2,-,-,289,Nicolò Barella,,,
23/24,Club World Cup,Manchester City,1,-,-,-,-,-,90,Rúben Dias,,,
23/24,Champions League,Manchester City,5,-,-,2,-,-,398,Rúben Dias,,,
23/24,UEFA Super Cup,Manchester City,-,-,-,-,-,-,-,Rúben Dias,,,
22/23,Champions League,Manchester City,12,1,-,2,-,-,1047,Rúben Dias,,,
21/22,Champions League,Manchester City,8,-,1,-,-,-,663,Rúben Dias,,,
20/21,Champions League,Manchester City,11,-,-,1,-,-,970,Rúben Dias,,,
20/21,Champions League Qu.,SL Benfica,1,-,-,-,-,-,90,Rúben Dias,,,
19/20,Europa League,SL Benfica,2,1,-,-,-,-,180,Rúben Dias,,,
19/20,Champions League,SL Benfica,6,-,-,1,-,-,540,Rúben Dias,,,
18/19,Europa League,SL Benfica,6,1,1,-,-,-,570,Rúben Dias,,,
18/19,Champions League,SL Benfica,5,-,-,2,1,-,400,Rúben Dias,,,
18/19,Champions League Qu.,SL Benfica,4,-,-,1,-,-,360,Rúben Dias,,,
17/18,Champions League,SL Benfica,2,-,-,1,-,-,180,Rúben Dias,,,
16/17,UEFA Youth League,SL Benfica Youth League,7,-,-,-,-,-,690,Rúben Dias,,,
15/16,Champions League,SL Benfica,-,-,-,-,-,-,-,Rúben Dias,,,
15/16,UEFA Youth League,SL Benfica Youth League,2,-,-,-,-,-,180,Rúben Dias,,,
14/15,UEFA Youth League,SL Benfica Youth League,5,-,-,1,-,1,467,Rúben Dias,,,
23/24,Champions League,Atlético de Madrid,3,-,-,1,-,-,131,Cesar Azpilicueta,,,
22/23,Champions League,Chelsea FC,5,-,-,-,-,-,261,Cesar Azpilicueta,,,
21/22,Champions League,Chelsea FC,9,1,1,2,-,-,679,Cesar Azpilicueta,,,
21/22,Club World Cup,Chelsea FC,2,-,-,-,-,-,210,Cesar Azpilicueta,,,
21/22,UEFA Super Cup,Chelsea FC,1,-,-,-,-,-,38,Cesar Azpilicueta,,,
20/21,Champions League,Chelsea FC,11,-,-,1,-,-,965,Cesar Azpilicueta,,,
19/20,Champions League,Chelsea FC,7,2,-,2,-,-,613,Cesar Azpilicueta,,,
19/20,UEFA Super Cup,Chelsea FC,1,-,-,1,-,-,120,Cesar Azpilicueta,,,
18/19,Europa League,Chelsea FC,9,-,-,2,-,-,695,Cesar Azpilicueta,,,
17/18,Champions League,Chelsea FC,8,1,-,-,-,-,705,Cesar Azpilicueta,,,
15/16,Champions League,Chelsea FC,8,-,-,1,-,-,720,Cesar Azpilicueta,,,
14/15,Champions League,Chelsea FC,4,-,-,1,-,-,390,Cesar Azpilicueta,,,
13/14,Champions League,Chelsea FC,10,-,3,-,-,-,821,Cesar Azpilicueta,,,
13/14,UEFA Super Cup,Chelsea FC,-,-,-,-,-,-,-,Cesar Azpilicueta,,,
12/13,Europa League,Chelsea FC,8,-,-,2,-,-,720,Cesar Azpilicueta,,,
12/13,Club World Cup,Chelsea FC,2,-,-,-,-,-,97,Cesar Azpilicueta,,,
12/13,Champions League,Chelsea FC,1,-,-,-,-,-,60,Cesar Azpilicueta,,,
12/13,Europa League Qualifying,Olympique Marseille,1,-,-,-,-,-,8,Cesar Azpilicueta,,,
11/12,Champions League,Olympique Marseille,8,-,-,-,-,-,710,Cesar Azpilicueta,,,
10/11,Champions League,Olympique Marseille,4,-,1,-,-,-,360,Cesar Azpilicueta,,,
06/07,UEFA Cup,CA Osasuna,1,-,-,-,-,-,90,Cesar Azpilicueta,,,
23/24,Champions League,Real Madrid,3,2,3,-,-,-,264,Vinícius Júnior,,,
22/23,Champions League,Real Madrid,12,7,5,1,-,-,976,Vinícius Júnior,,,
22/23,Club World Cup,Real Madrid,2,3,1,-,-,-,180,Vinícius Júnior,,,
22/23,UEFA Super Cup,Real Madrid,1,-,1,-,-,-,85,Vinícius Júnior,,,
21/22,Champions League,Real Madrid,13,4,7,1,-,-,1201,Vinícius Júnior,,,
20/21,Champions League,Real Madrid,12,3,2,1,-,-,638,Vinícius Júnior,,,
19/20,Champions League,Real Madrid,5,1,1,1,-,-,193,Vinícius Júnior,,,
18/19,Champions League,Real Madrid,4,-,2,-,-,-,234,Vinícius Júnior,,,
18/19,Club World Cup,Real Madrid,1,-,1,-,-,-,6,Vinícius Júnior,,,
18/19,UEFA Super Cup,Real Madrid,-,-,-,-,-,-,-,Vinícius Júnior,,,
2018,Libertadores,CR Flamengo,5,2,-,-,-,-,359,Vinícius Júnior,,,
2017,Copa Sudamericana,CR Flamengo,7,1,-,1,-,-,203,Vinícius Júnior,,,
23/24,Champions League,Borussia Dortmund,2,-,-,-,-,-,20,Sébastien Haller,,,
22/23,Champions League,Borussia Dortmund,2,-,-,-,-,-,145,Sébastien Haller,,,
21/22,Champions League,Ajax Amsterdam,8,11,2,1,-,-,667,Sébastien Haller,,,
18/19,Europa League,Eintracht Frankfurt,10,5,3,2,-,-,774,Sébastien Haller,,,
23/24,Club World Cup,Al-Ittihad Club,2,-,-,1,-,-,180,Fabinho,,,
23/24,AFC Champions League,Al-Ittihad Club,3,-,1,-,-,-,270,Fabinho,,,
22/23,Champions League,Liverpool FC,8,-,-,-,-,-,631,Fabinho,,,
21/22,Champions League,Liverpool FC,13,1,-,1,-,-,848,Fabinho,,,
20/21,Champions League,Liverpool FC,8,-,-,-,-,-,555,Fabinho,,,
19/20,Champions League,Liverpool FC,7,-,1,1,-,-,484,Fabinho,,,
19/20,UEFA Super Cup,Liverpool FC,1,-,-,-,-,-,120,Fabinho,,,
18/19,Champions League,Liverpool FC,11,-,-,3,-,-,723,Fabinho,,,
17/18,Champions League,AS Monaco,5,-,-,2,-,-,450,Fabinho,,,
16/17,Champions League,AS Monaco,10,1,3,4,-,-,846,Fabinho,,,
16/17,Champions League Qu.,AS Monaco,4,2,-,2,-,-,360,Fabinho,,,
15/16,Europa League,AS Monaco,5,-,-,3,-,-,450,Fabinho,,,
15/16,Champions League Qu.,AS Monaco,4,-,1,1,-,-,360,Fabinho,,,
14/15,Champions League,AS Monaco,10,1,-,1,-,-,817,Fabinho,,,
23/24,Champions League,AC Milan,5,1,-,1,-,-,443,Rafael Leão,,,
22/23,Champions League,AC Milan,11,1,5,-,-,-,915,Rafael Leão,,,
21/22,Champions League,AC Milan,4,1,1,1,-,-,294,Rafael Leão,,,
20/21,Europa League,AC Milan,7,1,-,-,-,-,315,Rafael Leão,,,
20/21,Europa League Qualifying,AC Milan,1,-,-,1,-,-,53,Rafael Leão,,,
17/18,Europa League,Sporting CP,1,-,-,-,-,-,16,Rafael Leão,,,
17/18,UEFA Youth League,Sporting CP UEFA U19,6,5,3,1,-,-,468,Rafael Leão,,,
16/17,UEFA Youth League,Sporting CP UEFA U19,5,1,-,-,-,-,231,Rafael Leão,,,
23/24,Champions League,Manchester United,2,2,-,-,1,-,167,Casemiro,,,
22/23,Europa League,Manchester United,12,-,1,3,-,-,990,Casemiro,,,
22/23,UEFA Super Cup,Real Madrid,1,-,1,-,-,-,90,Casemiro,,,
21/22,Champions League,Real Madrid,11,-,-,3,-,-,914,Casemiro,,,
20/21,Champions League,Real Madrid,10,1,1,4,-,-,828,Casemiro,,,
19/20,Champions League,Real Madrid,8,1,1,1,-,-,690,Casemiro,,,
18/19,Champions League,Real Madrid,6,1,-,-,-,-,505,Casemiro,,,
18/19,Club World Cup,Real Madrid,2,-,-,-,-,-,24,Casemiro,,,
18/19,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,76,Casemiro,,,
17/18,Champions League,Real Madrid,12,1,-,2,-,-,944,Casemiro,,,
17/18,Club World Cup,Real Madrid,2,-,-,1,-,-,180,Casemiro,,,
17/18,UEFA Super Cup,Real Madrid,1,1,-,-,-,-,90,Casemiro,,,
16/17,Champions League,Real Madrid,9,2,2,2,-,-,827,Casemiro,,,
16/17,Club World Cup,Real Madrid,2,-,-,1,-,-,210,Casemiro,,,
16/17,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,120,Casemiro,,,
15/16,Champions League,Real Madrid,11,-,-,3,-,-,925,Casemiro,,,
14/15,Champions League,FC Porto,8,1,1,2,-,-,700,Casemiro,,,
14/15,Champions League Qu.,FC Porto,2,-,-,-,-,-,174,Casemiro,,,
13/14,Champions League,Real Madrid,6,-,-,1,-,-,144,Casemiro,,,
2013,Libertadores,São Paulo Futebol Clube,2,-,-,-,-,-,34,Casemiro,,,
2012,Copa Sudamericana,São Paulo Futebol Clube,1,-,-,-,-,-,27,Casemiro,,,
2011,Copa Sudamericana,São Paulo Futebol Clube,2,-,1,-,-,-,103,Casemiro,,,
23/24,Europa League,Liverpool FC,4,2,1,-,-,-,271,Luis Díaz,,,
22/23,Champions League,Liverpool FC,3,1,1,-,-,-,268,Luis Díaz,,,
21/22,Champions League,Liverpool FC,7,2,1,-,-,-,384,Luis Díaz,,,
21/22,Champions League,FC Porto,6,2,-,1,-,-,523,Luis Díaz,,,
20/21,Champions League,FC Porto,9,2,1,2,-,-,450,Luis Díaz,,,
19/20,Europa League,FC Porto,8,3,1,1,-,-,403,Luis Díaz,,,
19/20,Champions League Qu.,FC Porto,2,1,-,-,-,-,125,Luis Díaz,,,
2019,Libertadores,Junior FC,5,-,-,3,-,-,419,Luis Díaz,,,
2018,Copa Sudamericana,Junior FC,10,3,1,-,-,-,908,Luis Díaz,,,
2018,Libertadores,Junior FC,9,-,2,1,-,-,380,Luis Díaz,,,
2017,Copa Sudamericana,Junior FC,4,1,-,-,-,1,153,Luis Díaz,,,
22/23,Europa League,Juventus FC,8,3,1,2,-,-,465,Dušan Vlahović,,,
22/23,Champions League,Juventus FC,5,1,1,-,-,-,413,Dušan Vlahović,,,
21/22,Champions League,Juventus FC,2,1,-,-,-,-,180,Dušan Vlahović,,,
18/19,Viareggio Cup,Fiorentina Primavera,2,-,-,-,-,-,125,Dušan Vlahović,,,
16/17,Europa League Qualifying,FK Partizan Belgrade,1,-,-,-,-,-,50,Dušan Vlahović,,,
23/24,Champions League,FC Barcelona,6,1,1,1,-,-,458,João Cancelo,,,
22/23,Champions League,Bayern Munich,4,-,1,1,-,-,121,João Cancelo,,,
22/23,Champions League,Manchester City,6,-,4,1,-,-,377,João Cancelo,,,
21/22,Champions League,Manchester City,9,2,3,3,-,-,840,João Cancelo,,,
20/21,Champions League,Manchester City,9,1,1,3,-,-,604,João Cancelo,,,
19/20,Champions League,Manchester City,8,-,-,1,-,-,568,João Cancelo,,,
18/19,Champions League,Juventus FC,7,-,3,-,-,-,479,João Cancelo,,,
15/16,Europa League,Valencia CF,1,-,-,1,-,-,76,João Cancelo,,,
15/16,Champions League,Valencia CF,6,1,-,1,-,-,460,João Cancelo,,,
15/16,Champions League Qu.,Valencia CF,-,-,-,-,-,-,-,João Cancelo,,,
23/24,Champions League,Bayern Munich,6,-,2,-,-,-,540,Joshua Kimmich,,,
22/23,Champions League,Bayern Munich,9,1,3,3,-,-,810,Joshua Kimmich,,,
21/22,Champions League,Bayern Munich,8,-,-,1,-,-,702,Joshua Kimmich,,,
20/21,Champions League,Bayern Munich,7,1,4,2,-,-,617,Joshua Kimmich,,,
20/21,Club World Cup,Bayern Munich,2,-,-,-,-,-,180,Joshua Kimmich,,,
20/21,UEFA Super Cup,Bayern Munich,1,-,-,-,-,-,120,Joshua Kimmich,,,
19/20,Champions League,Bayern Munich,11,2,4,3,-,-,903,Joshua Kimmich,,,
18/19,Champions League,Bayern Munich,7,-,2,3,-,-,630,Joshua Kimmich,,,
17/18,Champions League,Bayern Munich,11,4,3,2,-,-,897,Joshua Kimmich,,,
16/17,Champions League,Bayern Munich,8,3,-,-,-,-,320,Joshua Kimmich,,,
15/16,Champions League,Bayern Munich,9,-,-,2,-,-,631,Joshua Kimmich,,,
23/24,Champions League,AC Milan,6,-,,1,,-,531,Mike Maignan,-,8,2
22/23,Champions League,AC Milan,7,-,,1,,-,630,Mike Maignan,-,6,2
21/22,Champions League,AC Milan,3,-,,1,,-,270,Mike Maignan,-,7,-
20/21,Europa League,LOSC Lille,8,-,,2,,-,720,Mike Maignan,-,12,1
19/20,Champions League,LOSC Lille,6,-,,-,,-,522,Mike Maignan,-,14,-
16/17,Europa League Qualifying,LOSC Lille,-,-,,-,,-,-,Mike Maignan,-,-,-
14/15,Champions League,Paris Saint-Germain,-,-,,-,,-,-,Mike Maignan,-,-,-
13/14,UEFA Youth League,Paris Saint-Germain UEFA U19,5,-,,-,,-,450,Mike Maignan,-,4,1
22/23,Champions League,RB Leipzig,7,3,1,1,-,-,562,Christopher Nkunku,,,
21/22,Europa League,RB Leipzig,6,4,-,-,-,-,526,Christopher Nkunku,,,
21/22,Champions League,RB Leipzig,6,7,2,-,-,-,531,Christopher Nkunku,,,
20/21,Champions League,RB Leipzig,7,1,2,2,-,-,585,Christopher Nkunku,,,
19/20,Champions League,RB Leipzig,9,-,1,1,-,-,513,Christopher Nkunku,,,
18/19,Champions League,Paris Saint-Germain,-,-,-,-,-,-,-,Christopher Nkunku,,,
16/17,Champions League,Paris Saint-Germain,1,-,-,-,-,-,21,Christopher Nkunku,,,
16/17,UEFA Youth League,Paris Saint-Germain UEFA U19,4,5,2,-,-,-,360,Christopher Nkunku,,,
15/16,UEFA Youth League,Paris Saint-Germain UEFA U19,9,3,3,-,-,-,788,Christopher Nkunku,,,
15/16,Champions League,Paris Saint-Germain,1,-,-,-,-,-,3,Christopher Nkunku,,,
14/15,UEFA Youth League,Paris Saint-Germain UEFA U19,4,1,1,2,-,-,139,Christopher Nkunku,,,
23/24,Europa League,Liverpool FC,6,2,1,1,-,-,279,Darwin Núñez,,,
22/23,Champions League,Liverpool FC,8,4,-,1,-,-,401,Darwin Núñez,,,
21/22,Champions League,SL Benfica,10,6,-,1,-,-,614,Darwin Núñez,,,
20/21,Europa League,SL Benfica,7,5,1,-,-,-,438,Darwin Núñez,,,
20/21,Champions League Qu.,SL Benfica,1,-,-,-,-,-,25,Darwin Núñez,,,
2019,Libertadores,CA Peñarol,5,-,-,-,-,-,277,Darwin Núñez,,,
2018,Copa Sudamericana,CA Peñarol,2,-,-,-,-,-,101,Darwin Núñez,,,
23/24,Champions League,Real Madrid,6,-,1,-,-,-,469,Antonio Rüdiger,,,
22/23,Champions League,Real Madrid,10,1,-,-,-,-,674,Antonio Rüdiger,,,
22/23,Club World Cup,Real Madrid,2,-,-,-,-,-,180,Antonio Rüdiger,,,
22/23,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,5,Antonio Rüdiger,,,
21/22,Champions League,Chelsea FC,9,1,2,2,-,-,840,Antonio Rüdiger,,,
21/22,Club World Cup,Chelsea FC,2,-,-,-,-,-,210,Antonio Rüdiger,,,
21/22,UEFA Super Cup,Chelsea FC,1,-,-,1,-,-,120,Antonio Rüdiger,,,
20/21,Champions League,Chelsea FC,11,-,1,1,-,-,922,Antonio Rüdiger,,,
19/20,Champions League,Chelsea FC,2,-,-,-,-,-,180,Antonio Rüdiger,,,
19/20,UEFA Super Cup,Chelsea FC,-,-,-,-,-,-,-,Antonio Rüdiger,,,
18/19,Europa League,Chelsea FC,4,-,-,1,-,-,360,Antonio Rüdiger,,,
17/18,Champions League,Chelsea FC,6,-,-,1,-,-,388,Antonio Rüdiger,,,
16/17,Europa League,AS Roma,5,-,1,2,1,-,376,Antonio Rüdiger,,,
15/16,Champions League,AS Roma,6,-,-,-,-,-,540,Antonio Rüdiger,,,
13/14,Europa League Qualifying,VfB Stuttgart,4,-,-,1,-,-,296,Antonio Rüdiger,,,
12/13,Europa League,VfB Stuttgart,4,-,-,-,-,-,281,Antonio Rüdiger,,,
23/24,Club World Cup,Manchester City,2,-,-,-,-,-,151,Rodri,,,
23/24,Champions League,Manchester City,4,1,2,1,-,-,353,Rodri,,,
23/24,UEFA Super Cup,Manchester City,1,-,1,-,-,-,90,Rodri,,,
22/23,Champions League,Manchester City,12,2,-,1,-,-,995,Rodri,,,
21/22,Champions League,Manchester City,10,-,-,2,-,-,842,Rodri,,,
20/21,Champions League,Manchester City,10,-,-,1,-,-,785,Rodri,,,
19/20,Champions League,Manchester City,8,-,-,2,-,-,626,Rodri,,,
18/19,Champions League,Atlético de Madrid,8,-,-,-,-,-,605,Rodri,,,
18/19,UEFA Super Cup,Atlético de Madrid,1,-,-,-,-,-,71,Rodri,,,
17/18,Europa League,Villarreal CF,6,-,1,1,-,-,458,Rodri,,,
16/17,Europa League,Villarreal CF,4,1,-,1,-,-,192,Rodri,,,
16/17,Champions League Qu.,Villarreal CF,-,-,-,-,-,-,-,Rodri,,,
23/24,Club World Cup,Manchester City,2,2,1,-,-,-,115,Julián Álvarez,,,
23/24,Champions League,Manchester City,4,4,1,-,-,-,155,Julián Álvarez,,,
23/24,UEFA Super Cup,Manchester City,1,-,-,-,-,-,5,Julián Álvarez,,,
22/23,Champions League,Manchester City,10,3,2,1,-,-,468,Julián Álvarez,,,
2022,Libertadores,CA River Plate,8,6,2,1,-,-,720,Julián Álvarez,,,
2021,Libertadores,CA River Plate,10,2,1,-,-,-,655,Julián Álvarez,,,
2020,Libertadores,CA River Plate,11,5,2,-,-,-,469,Julián Álvarez,,,
2019,Libertadores,CA River Plate,5,1,1,-,-,-,179,Julián Álvarez,,,
18/19,Club World Cup,CA River Plate,1,-,1,-,-,-,90,Julián Álvarez,,,
2018,Libertadores,CA River Plate,1,-,-,-,-,-,23,Julián Álvarez,,,
23/24,Champions League,SSC Napoli,4,1,1,1,-,-,293,Victor Osimhen,,,
22/23,Champions League,SSC Napoli,6,5,-,1,-,-,423,Victor Osimhen,,,
21/22,Europa League,SSC Napoli,5,4,1,-,-,-,321,Victor Osimhen,,,
20/21,Europa League,SSC Napoli,3,-,-,1,1,-,183,Victor Osimhen,,,
19/20,Champions League,LOSC Lille,5,2,-,1,-,-,450,Victor Osimhen,,,
23/24,AFC Champions League,Al-Hilal SFC,2,-,,-,,-,135,Yassine Bounou,-,-,2
23/24,UEFA Super Cup,Sevilla FC,1,-,,-,,-,90,Yassine Bounou,-,1,-
22/23,Europa League,Sevilla FC,6,-,,1,,-,600,Yassine Bounou,-,5,2
22/23,Champions League,Sevilla FC,4,-,,1,,-,360,Yassine Bounou,-,12,-
21/22,Europa League,Sevilla FC,4,-,,1,,-,390,Yassine Bounou,-,4,1
21/22,Champions League,Sevilla FC,6,-,,-,,-,540,Yassine Bounou,-,5,2
20/21,Champions League,Sevilla FC,5,-,,-,,-,450,Yassine Bounou,-,6,2
20/21,UEFA Super Cup,Sevilla FC,1,-,,-,,-,120,Yassine Bounou,-,2,-
19/20,Europa League,Sevilla FC,10,-,,-,,-,900,Yassine Bounou,-,6,6
10/11,CAF-Champions League,Wydad Casablanca,1,-,,-,,-,90,Yassine Bounou,-,1,-
23/24,Champions League,FC Barcelona,6,-,3,-,-,-,480,İlkay Gündoğan,,,
22/23,Champions League,Manchester City,13,1,2,4,-,-,997,İlkay Gündoğan,,,
21/22,Champions League,Manchester City,10,-,2,1,-,-,659,İlkay Gündoğan,,,
20/21,Champions League,Manchester City,12,3,1,2,-,-,977,İlkay Gündoğan,,,
19/20,Champions League,Manchester City,9,2,2,-,-,-,810,İlkay Gündoğan,,,
18/19,Champions League,Manchester City,8,-,1,-,-,-,590,İlkay Gündoğan,,,
17/18,Champions League,Manchester City,9,2,2,2,-,-,503,İlkay Gündoğan,,,
16/17,Champions League,Manchester City,6,2,1,1,-,-,520,İlkay Gündoğan,,,
15/16,Europa League,Borussia Dortmund,6,-,-,1,-,-,325,İlkay Gündoğan,,,
15/16,Europa League Qualifying,Borussia Dortmund,4,1,3,-,-,-,323,İlkay Gündoğan,,,
14/15,Champions League,Borussia Dortmund,6,-,1,-,-,-,384,İlkay Gündoğan,,,
12/13,Champions League,Borussia Dortmund,12,1,1,2,-,-,982,İlkay Gündoğan,,,
11/12,Champions League,Borussia Dortmund,2,-,-,-,-,-,147,İlkay Gündoğan,,,
23/24,Conference League,Aston Villa,4,-,,-,,-,360,Emiliano Martínez,-,5,1
23/24,UECL Qualifiers,Aston Villa,1,-,,-,,-,45,Emiliano Martínez,-,-,1
19/20,Europa League,Arsenal FC,6,-,,-,,-,540,Emiliano Martínez,-,7,2
18/19,Europa League,Arsenal FC,1,-,,-,,-,90,Emiliano Martínez,-,-,1
14/15,Champions League,Arsenal FC,2,-,,-,,-,180,Emiliano Martínez,-,1,1
14/15,Champions League Qu.,Arsenal FC,-,-,,-,,-,-,Emiliano Martínez,-,-,-
23/24,Champions League,SSC Napoli,6,-,1,-,-,-,514,Khvicha Kvaratskhelia,,,
22/23,Champions League,SSC Napoli,9,2,4,-,-,-,700,Khvicha Kvaratskhelia,,,
21/22,UECL Qualifiers,Rubin Kazan,2,-,-,-,-,-,190,Khvicha Kvaratskhelia,,,
23/24,Champions League,Real Madrid,5,4,3,2,-,-,449,Jude Bellingham,,,
22/23,Champions League,Borussia Dortmund,7,4,1,2,-,-,630,Jude Bellingham,,,
21/22,Europa League,Borussia Dortmund,2,2,2,1,-,-,180,Jude Bellingham,,,
21/22,Champions League,Borussia Dortmund,6,1,3,1,-,-,502,Jude Bellingham,,,
20/21,Champions League,Borussia Dortmund,10,1,1,2,-,-,688,Jude Bellingham,,,
23/24,Champions League,Bayern Munich,5,-,-,-,-,-,450,Kim Min-jae,,,
22/23,Champions League,SSC Napoli,9,-,-,3,-,-,786,Kim Min-jae,,,
21/22,Conference League,Fenerbahce,2,-,-,-,-,-,54,Kim Min-jae,,,
21/22,Europa League,Fenerbahce,6,-,-,-,-,-,540,Kim Min-jae,,,
19/20,AFC Champions League,Beijing Guoan,6,-,-,1,-,-,526,Kim Min-jae,,,
18/19,AFC Champions League,Beijing Guoan,6,-,-,1,-,-,540,Kim Min-jae,,,
17/18,AFC Champions League,Jeonbuk Hyundai Motors,6,-,1,1,-,-,570,Kim Min-jae,,,
23/24,Champions League,Manchester United,6,-,,-,,-,540,André Onana,-,15,1
22/23,Champions League,Inter Milan,13,-,,2,,-,1170,André Onana,-,11,8
21/22,Champions League,Ajax Amsterdam,2,-,,-,,-,180,André Onana,-,2,-
20/21,Champions League,Ajax Amsterdam,6,-,,-,,-,540,André Onana,-,7,-
19/20,Europa League,Ajax Amsterdam,1,-,,-,,-,90,André Onana,-,1,-
19/20,Champions League,Ajax Amsterdam,6,-,,3,,-,540,André Onana,-,6,3
19/20,Champions League Qu.,Ajax Amsterdam,4,-,,1,,-,360,André Onana,-,4,2
18/19,Champions League,Ajax Amsterdam,12,-,,2,,-,1080,André Onana,-,13,4
18/19,Champions League Qu.,Ajax Amsterdam,6,-,,-,,-,540,André Onana,-,4,3
17/18,Europa League Qualifying,Ajax Amsterdam,2,-,,-,,-,180,André Onana,-,4,-
17/18,Champions League Qu.,Ajax Amsterdam,2,-,,-,,-,180,André Onana,-,3,-
16/17,Europa League,Ajax Amsterdam,14,-,,2,,-,1290,André Onana,-,16,6
15/16,Europa League,Ajax Amsterdam,-,-,,-,,-,-,André Onana,-,-,-
14/15,UEFA Youth League,FC Barcelona UEFA U19,6,-,,1,,-,540,André Onana,-,7,2
23/24,Champions League,Arsenal FC,5,3,4,-,-,-,335,Bukayo Saka,,,
22/23,Europa League,Arsenal FC,8,1,-,1,-,-,401,Bukayo Saka,,,
20/21,Europa League,Arsenal FC,9,2,5,1,-,-,704,Bukayo Saka,,,
19/20,Europa League,Arsenal FC,6,2,4,-,-,-,545,Bukayo Saka,,,
18/19,Europa League,Arsenal FC,2,-,-,-,-,-,112,Bukayo Saka,,,
23/24,Club World Cup,Manchester City,2,-,-,-,-,-,40,Joško Gvardiol,,,
23/24,Champions League,Manchester City,3,-,1,-,-,-,270,Joško Gvardiol,,,
23/24,UEFA Super Cup,Manchester City,1,-,-,-,-,-,90,Joško Gvardiol,,,
22/23,Champions League,RB Leipzig,6,2,-,-,-,-,540,Joško Gvardiol,,,
21/22,Europa League,RB Leipzig,6,-,-,1,-,-,513,Joško Gvardiol,,,
21/22,Champions League,RB Leipzig,6,-,-,-,-,-,333,Joško Gvardiol,,,
